image_path,category,width,height,aspect_ratio,channels,avg_intensity
dataset/train\Batik Bali\0.jpg,Batik Bali,224,224,1.0,3,108.88
dataset/train\Batik Bali\1.jpg,Batik Bali,224,224,1.0,3,147.77
dataset/train\Batik Bali\10.jpg,Batik Bali,224,224,1.0,3,104.28
dataset/train\Batik Bali\11.jpg,Batik Bali,224,224,1.0,3,127.69
dataset/train\Batik Bali\12.jpg,Batik Bali,224,224,1.0,3,101.42
dataset/train\Batik Bali\13.jpg,Batik Bali,224,224,1.0,3,86.07
dataset/train\Batik Bali\14.jpg,Batik Bali,224,224,1.0,3,95.26
dataset/train\Batik Bali\15.jpg,Batik Bali,224,224,1.0,3,165.98
dataset/train\Batik Bali\16.jpg,Batik Bali,224,224,1.0,3,173.83
dataset/train\Batik Bali\17.jpg,Batik Bali,224,224,1.0,3,79.97
dataset/train\Batik Bali\18.jpg,Batik Bali,224,224,1.0,3,95.2
dataset/train\Batik Bali\19.jpg,Batik Bali,224,224,1.0,3,94.15
dataset/train\Batik Bali\2.jpg,Batik Bali,224,224,1.0,3,82.01
dataset/train\Batik Bali\20.jpg,Batik Bali,224,224,1.0,3,134.06
dataset/train\Batik Bali\21.jpg,Batik Bali,224,224,1.0,3,120.32
dataset/train\Batik Bali\22.jpg,Batik Bali,224,224,1.0,3,174.11
dataset/train\Batik Bali\23.jpg,Batik Bali,224,224,1.0,3,119.27
dataset/train\Batik Bali\24.jpg,Batik Bali,224,224,1.0,3,109.35
dataset/train\Batik Bali\25.jpg,Batik Bali,224,224,1.0,3,99.01
dataset/train\Batik Bali\26.jpg,Batik Bali,224,224,1.0,3,77.59
dataset/train\Batik Bali\27.jpg,Batik Bali,224,224,1.0,3,109.59
dataset/train\Batik Bali\28.jpg,Batik Bali,224,224,1.0,3,84.45
dataset/train\Batik Bali\29.jpg,Batik Bali,224,224,1.0,3,118.97
dataset/train\Batik Bali\3.jpg,Batik Bali,224,224,1.0,3,174.51
dataset/train\Batik Bali\30.jpg,Batik Bali,224,224,1.0,3,110.08
dataset/train\Batik Bali\31.jpg,Batik Bali,224,224,1.0,3,129.34
dataset/train\Batik Bali\32.jpg,Batik Bali,224,224,1.0,3,215.97
dataset/train\Batik Bali\33.jpg,Batik Bali,224,224,1.0,3,192.69
dataset/train\Batik Bali\34.jpg,Batik Bali,224,224,1.0,3,182.82
dataset/train\Batik Bali\35.jpg,Batik Bali,224,224,1.0,3,82.2
dataset/train\Batik Bali\36.jpg,Batik Bali,224,224,1.0,3,172.65
dataset/train\Batik Bali\37.jpg,Batik Bali,224,224,1.0,3,136.72
dataset/train\Batik Bali\38.jpg,Batik Bali,224,224,1.0,3,105.32
dataset/train\Batik Bali\39.jpg,Batik Bali,224,224,1.0,3,86.91
dataset/train\Batik Bali\4.jpg,Batik Bali,224,224,1.0,3,112.36
dataset/train\Batik Bali\40.jpg,Batik Bali,224,224,1.0,3,55.96
dataset/train\Batik Bali\41.jpg,Batik Bali,224,224,1.0,3,138.84
dataset/train\Batik Bali\42.jpg,Batik Bali,224,224,1.0,3,186.76
dataset/train\Batik Bali\43.jpg,Batik Bali,224,224,1.0,3,163.37
dataset/train\Batik Bali\44.jpg,Batik Bali,224,224,1.0,3,110.02
dataset/train\Batik Bali\45.jpg,Batik Bali,224,224,1.0,3,186.4
dataset/train\Batik Bali\46.jpg,Batik Bali,224,224,1.0,3,112.93
dataset/train\Batik Bali\47.jpg,Batik Bali,224,224,1.0,3,151.06
dataset/train\Batik Bali\48.jpg,Batik Bali,224,224,1.0,3,113.53
dataset/train\Batik Bali\49.jpg,Batik Bali,224,224,1.0,3,106.4
dataset/train\Batik Bali\5.jpg,Batik Bali,224,224,1.0,3,135.73
dataset/train\Batik Bali\50.jpg,Batik Bali,224,224,1.0,3,117.97
dataset/train\Batik Bali\51.jpg,Batik Bali,224,224,1.0,3,90.86
dataset/train\Batik Bali\52.jpg,Batik Bali,224,224,1.0,3,117.24
dataset/train\Batik Bali\53.jpg,Batik Bali,224,224,1.0,3,178.42
dataset/train\Batik Bali\54.jpg,Batik Bali,224,224,1.0,3,102.31
dataset/train\Batik Bali\55.jpg,Batik Bali,224,224,1.0,3,115.13
dataset/train\Batik Bali\56.jpg,Batik Bali,224,224,1.0,3,143.15
dataset/train\Batik Bali\57.jpg,Batik Bali,224,224,1.0,3,94.5
dataset/train\Batik Bali\58.jpg,Batik Bali,224,224,1.0,3,96.57
dataset/train\Batik Bali\59.jpg,Batik Bali,224,224,1.0,3,138.89
dataset/train\Batik Bali\6.jpg,Batik Bali,224,224,1.0,3,131.52
dataset/train\Batik Bali\60.jpg,Batik Bali,224,224,1.0,3,113.66
dataset/train\Batik Bali\61.jpg,Batik Bali,224,224,1.0,3,191.35
dataset/train\Batik Bali\62.jpg,Batik Bali,224,224,1.0,3,116.49
dataset/train\Batik Bali\63.jpg,Batik Bali,224,224,1.0,3,174.23
dataset/train\Batik Bali\64.jpg,Batik Bali,224,224,1.0,3,112.58
dataset/train\Batik Bali\65.jpg,Batik Bali,224,224,1.0,3,186.25
dataset/train\Batik Bali\66.jpg,Batik Bali,224,224,1.0,3,80.83
dataset/train\Batik Bali\67.jpg,Batik Bali,224,224,1.0,3,68.42
dataset/train\Batik Bali\68.jpg,Batik Bali,224,224,1.0,3,111.18
dataset/train\Batik Bali\69.jpg,Batik Bali,224,224,1.0,3,100.79
dataset/train\Batik Bali\7.jpg,Batik Bali,224,224,1.0,3,125.68
dataset/train\Batik Bali\8.jpg,Batik Bali,224,224,1.0,3,96.5
dataset/train\Batik Bali\9.jpg,Batik Bali,224,224,1.0,3,85.09
dataset/train\Batik Betawi\0.jpg,Batik Betawi,224,224,1.0,3,109.45
dataset/train\Batik Betawi\1.jpg,Batik Betawi,224,224,1.0,3,97.13
dataset/train\Batik Betawi\10.jpg,Batik Betawi,224,224,1.0,3,106.4
dataset/train\Batik Betawi\11.jpg,Batik Betawi,224,224,1.0,3,122.07
dataset/train\Batik Betawi\12.jpg,Batik Betawi,224,224,1.0,3,61.06
dataset/train\Batik Betawi\13.jpg,Batik Betawi,224,224,1.0,3,106.79
dataset/train\Batik Betawi\14.jpg,Batik Betawi,224,224,1.0,3,106.8
dataset/train\Batik Betawi\15.jpg,Batik Betawi,224,224,1.0,3,162.25
dataset/train\Batik Betawi\16.jpg,Batik Betawi,224,224,1.0,3,88.83
dataset/train\Batik Betawi\17.jpg,Batik Betawi,224,224,1.0,3,107.56
dataset/train\Batik Betawi\18.jpg,Batik Betawi,224,224,1.0,3,112.14
dataset/train\Batik Betawi\19.jpg,Batik Betawi,224,224,1.0,3,105.58
dataset/train\Batik Betawi\2.jpg,Batik Betawi,224,224,1.0,3,110.62
dataset/train\Batik Betawi\20.jpg,Batik Betawi,224,224,1.0,3,108.3
dataset/train\Batik Betawi\21.jpg,Batik Betawi,224,224,1.0,3,121.63
dataset/train\Batik Betawi\22.jpg,Batik Betawi,224,224,1.0,3,102.73
dataset/train\Batik Betawi\23.jpg,Batik Betawi,224,224,1.0,3,141.04
dataset/train\Batik Betawi\24.jpg,Batik Betawi,224,224,1.0,3,110.95
dataset/train\Batik Betawi\25.jpg,Batik Betawi,224,224,1.0,3,122.08
dataset/train\Batik Betawi\26.jpg,Batik Betawi,224,224,1.0,3,112.87
dataset/train\Batik Betawi\27.jpg,Batik Betawi,224,224,1.0,3,90.86
dataset/train\Batik Betawi\28.jpg,Batik Betawi,224,224,1.0,3,111.2
dataset/train\Batik Betawi\29.jpg,Batik Betawi,224,224,1.0,3,97.54
dataset/train\Batik Betawi\3.jpg,Batik Betawi,224,224,1.0,3,104.88
dataset/train\Batik Betawi\30.jpg,Batik Betawi,224,224,1.0,3,163.78
dataset/train\Batik Betawi\31.jpg,Batik Betawi,224,224,1.0,3,79.1
dataset/train\Batik Betawi\32.jpg,Batik Betawi,224,224,1.0,3,112.55
dataset/train\Batik Betawi\33.jpg,Batik Betawi,224,224,1.0,3,125.9
dataset/train\Batik Betawi\34.jpg,Batik Betawi,224,224,1.0,3,118.94
dataset/train\Batik Betawi\35.jpg,Batik Betawi,224,224,1.0,3,99.83
dataset/train\Batik Betawi\36.jpg,Batik Betawi,224,224,1.0,3,128.12
dataset/train\Batik Betawi\37.jpg,Batik Betawi,224,224,1.0,3,106.31
dataset/train\Batik Betawi\38.jpg,Batik Betawi,224,224,1.0,3,97.46
dataset/train\Batik Betawi\39.jpg,Batik Betawi,224,224,1.0,3,84.54
dataset/train\Batik Betawi\4.jpg,Batik Betawi,224,224,1.0,3,138.28
dataset/train\Batik Betawi\40.jpg,Batik Betawi,224,224,1.0,3,136.03
