epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,87.7318,2.16734,0.58667,0.92333,1.21018,0.0675,0.000328283,0.000328283
2,162.049,1.28837,0.62333,0.91,1.49905,0.0344869,0.000648516,0.000648516
3,228.97,1.11815,0.70667,0.95,1.08766,0.0014606,0.000955549,0.000955549
4,296.395,1.06087,0.67,0.95333,1.18419,0.0009406,0.0009406,0.0009406
5,358.025,0.9929,0.60667,0.9,1.56187,0.0009208,0.0009208,0.0009208
6,423.388,0.93665,0.67,0.91667,1.42895,0.000901,0.000901,0.000901
7,487.247,0.88496,0.73333,0.94667,1.09828,0.0008812,0.0008812,0.0008812
8,554.683,0.80911,0.72667,0.95667,1.04886,0.0008614,0.0008614,0.0008614
9,618.688,0.79522,0.75667,0.94,1.09201,0.0008416,0.0008416,0.0008416
10,686.356,0.7728,0.76,0.96333,1.00113,0.0008218,0.0008218,0.0008218
11,750.25,0.73311,0.73,0.95667,1.10016,0.000802,0.000802,0.000802
12,817.501,0.66817,0.72333,0.95333,1.06875,0.0007822,0.0007822,0.0007822
13,879.205,0.6369,0.72667,0.95667,1.05027,0.0007624,0.0007624,0.0007624
14,944.347,0.59263,0.78333,0.94,0.93617,0.0007426,0.0007426,0.0007426
15,1012.76,0.56322,0.73667,0.95,0.99725,0.0007228,0.0007228,0.0007228
16,1095.94,0.49856,0.75667,0.94,1.14086,0.000703,0.000703,0.000703
17,1159.81,0.43737,0.76333,0.96,0.84714,0.0006832,0.0006832,0.0006832
18,1227.11,0.47051,0.76667,0.95333,0.92548,0.0006634,0.0006634,0.0006634
19,1288.75,0.35796,0.77333,0.96333,0.88546,0.0006436,0.0006436,0.0006436
20,1356.56,0.39555,0.78,0.96,0.95643,0.0006238,0.0006238,0.0006238
21,1420.25,0.39059,0.75,0.96333,0.99839,0.000604,0.000604,0.000604
22,1487.77,0.39637,0.76667,0.95333,1.00651,0.0005842,0.0005842,0.0005842
23,1549.6,0.31932,0.75667,0.93333,1.11713,0.0005644,0.0005644,0.0005644
24,1615.02,0.27269,0.76667,0.95,1.08874,0.0005446,0.0005446,0.0005446
25,1676.84,0.29606,0.75333,0.96,0.96466,0.0005248,0.0005248,0.0005248
26,1742.05,0.30636,0.77667,0.95667,1.089,0.000505,0.000505,0.000505
27,1805.9,0.27238,0.8,0.96,0.92252,0.0004852,0.0004852,0.0004852
28,2117.3,0.24153,0.78667,0.95,1.10766,0.0004654,0.0004654,0.0004654
29,2179.05,0.21572,0.8,0.94667,1.01387,0.0004456,0.0004456,0.0004456
30,2244.53,0.22619,0.80667,0.95667,1.00987,0.0004258,0.0004258,0.0004258
31,2308.45,0.19761,0.79667,0.96667,1.01091,0.000406,0.000406,0.000406
32,2380.6,0.19027,0.80667,0.95,0.91326,0.0003862,0.0003862,0.0003862
33,2462.86,0.19068,0.79333,0.95333,1.00634,0.0003664,0.0003664,0.0003664
34,2528.1,0.1597,0.79333,0.95333,1.0827,0.0003466,0.0003466,0.0003466
35,2589.9,0.15547,0.81,0.95333,0.96814,0.0003268,0.0003268,0.0003268
36,2657.55,0.15633,0.80667,0.95667,0.94299,0.000307,0.000307,0.000307
37,2723.55,0.13286,0.81333,0.96,0.91323,0.0002872,0.0002872,0.0002872
38,2791.07,0.15305,0.81333,0.94667,0.9075,0.0002674,0.0002674,0.0002674
39,2852.81,0.13795,0.8,0.94667,0.98132,0.0002476,0.0002476,0.0002476
40,2918.31,0.09541,0.81667,0.95,0.99853,0.0002278,0.0002278,0.0002278
41,3022.48,0.1117,0.82333,0.95333,0.94076,0.000208,0.000208,0.000208
42,3092.05,0.09333,0.82,0.95333,0.9509,0.0001882,0.0001882,0.0001882
43,3153.87,0.07854,0.81333,0.96,1.12436,0.0001684,0.0001684,0.0001684
44,3219.23,0.10276,0.81667,0.96667,0.89513,0.0001486,0.0001486,0.0001486
45,3283.18,0.08494,0.83333,0.97,0.83553,0.0001288,0.0001288,0.0001288
46,3350.61,0.03927,0.81667,0.96,0.85349,0.000109,0.000109,0.000109
47,3414.63,0.07277,0.81,0.96667,0.78963,8.92e-05,8.92e-05,8.92e-05
48,3479.91,0.07609,0.82333,0.96333,0.82354,6.94e-05,6.94e-05,6.94e-05
49,3541.77,0.06027,0.82,0.96667,0.89893,4.96e-05,4.96e-05,4.96e-05
50,3607.2,0.06787,0.82,0.96333,0.85053,2.98e-05,2.98e-05,2.98e-05
